"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","high","530.8","343.0","3996.3","29.0","10.0","53.0","222.0","1.0","2.0","309.0"
"","low","474.0","310.0","3686.0","25.2","10.7","43.0","185.0","1.0","4.0","260.3"
"Sam Darnold","SEA","506.8","336.7","4087.5","27.3","13.1","44.0","131.9","0.6","5.3","266.1"
"","high","512.4","338.0","4130.0","32.0","12.4","48.0","145.0","1.0","4.6","313.0"
"","low","498.0","335.0","4012.4","24.0","14.0","40.0","125.0","0.0","6.0","242.5"
"C.J. Stroud","HOU","550.7","347.1","3875.7","23.5","11.4","54.4","238.7","1.0","3.5","260.6"
"","high","572.0","351.3","3948.2","28.0","10.0","57.1","249.1","1.0","3.0","310.0"
"","low","529.0","339.0","3759.0","21.0","12.1","51.0","218.0","1.0","3.9","246.1"
"Bryce Young","CAR","525.3","334.2","3456.8","22.8","12.0","57.9","261.5","3.0","3.0","255.9"
"","high","537.0","336.0","3636.5","26.0","10.0","61.0","283.0","4.0","2.0","292.0"
"","low","515.0","332.0","3355.0","20.4","14.0","55.0","229.0","2.1","4.0","238.1"
"Geno Smith","NYJ","520.7","340.8","3461.1","21.8","14.8","57.4","210.8","1.0","2.2","233.8"
"","high","540.0","361.3","3819.4","24.0","14.0","58.1","255.0","1.1","1.0","250.5"
"","low","492.0","310.0","2945.0","20.5","16.0","56.0","157.0","1.0","3.4","233.1"
"Cam Ward","TEN","563.9","345.0","3585.8","19.5","10.4","44.2","185.2","2.0","5.4","230.9"
"","high","572.0","355.0","3757.5","23.0","10.0","49.0","207.0","3.0","4.8","253.0"
"","low","557.8","331.0","3338.0","16.5","11.0","37.0","148.0","1.0","6.0","219.6"
"Jacoby Brissett","ARI","541.3","346.9","3588.0","19.3","10.4","48.7","209.9","1.4","4.8","230.2"
"","high","586.0","376.0","3767.0","24.0","9.2","56.0","242.0","2.0","3.7","276.0"
"","low","516.8","326.7","3351.9","14.9","12.0","43.0","178.0","1.0","6.0","198.6"
"Aaron Rodgers","PIT","527.4","339.3","3483.8","22.0","9.4","26.0","82.5","0.6","2.7","224.7"
"","high","568.3","362.8","3770.3","23.0","8.0","29.0","99.6","1.0","2.0","246.0"
"","low","477.0","301.0","3032.0","20.1","11.1","21.0","68.0","0.0","3.5","218.8"
"Fernando Mendoza","LV","431.6","276.2","2882.2","15.7","12.2","50.4","233.0","1.3","2.7","191.7"
"","high","449.7","284.5","3058.5","18.0","10.0","52.1","256.0","1.9","2.0","206.9"
"","low","419.0","264.0","2609.0","14.2","16.0","48.0","217.0","1.0","3.4","187.5"
"Tua Tagovailoa","ATL","337.5","218.4","2350.6","13.2","7.3","17.3","41.7","0.1","1.8","140.5"
"","high","369.0","243.0","2544.0","16.0","7.0","18.0","44.0","0.3","1.0","166.0"
"","low","301.6","204.2","2172.8","10.5","7.9","15.9","39.0","0.0","2.5","115.3"
"Deshaun Watson","CLE","304.6","187.2","1994.0","10.8","7.5","44.3","191.7","1.2","3.3","135.2"
"","high","430.0","257.0","2655.0","17.0","4.4","60.0","256.0","2.0","1.7","200.0"
"","low","195.8","120.5","1282.1","5.4","11.0","25.9","130.1","0.6","5.0","78.2"
