"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Demarcus Robinson","SF","19.3","272.9","1.8","0.5","2.5","0.0","0.0","47.9"
"","high","32.0","458.0","3.0","1.0","5.0","0.0","0.0","63.6"
"","low","6.6","87.8","0.6","0.0","0.0","0.0","0.1","22.0"
"Mack Hollins","NE","21.5","257.9","1.6","0.0","0.0","0.0","0.2","45.8"
"","high","21.5","257.9","1.6","0.0","0.0","0.0","0.2","45.9"
"","low","21.5","257.9","1.6","0.0","0.0","0.0","0.2","45.9"
"Cyrus Allen","KC","19.4","245.1","1.5","0.0","0.0","0.0","0.2","43.0"
"","high","19.4","245.1","1.5","0.0","0.0","0.0","0.2","43.1"
"","low","19.4","245.1","1.5","0.0","0.0","0.0","0.2","43.1"
"Kyle Williams","NE","16.1","232.4","1.4","4.1","22.4","0.2","0.2","42.7"
"","high","16.1","232.4","1.4","4.1","22.4","0.2","0.2","43.3"
"","low","16.1","232.4","1.4","4.1","22.4","0.2","0.2","43.3"
"Luke McCaffrey","WAS","14.4","220.6","2.3","0.0","0.0","0.0","0.0","42.7"
"","high","22.0","361.0","4.0","0.0","0.0","0.0","0.0","60.2"
"","low","6.7","80.2","0.5","0.0","0.0","0.0","0.1","18.9"
"Kendrick Bourne","ARI","22.8","239.1","0.7","0.0","0.0","0.0","0.2","38.8"
"","high","22.8","239.1","0.7","0.0","0.0","0.0","0.2","38.9"
"","low","22.8","239.1","0.7","0.0","0.0","0.0","0.2","38.9"
"Dyami Brown","WAS","15.9","216.7","1.6","0.0","0.0","0.0","0.2","38.7"
"","high","15.9","216.7","1.6","0.0","0.0","0.0","0.2","39.0"
"","low","15.9","216.7","1.6","0.0","0.0","0.0","0.2","39.0"
"Treylon Burks","WAS","15.0","217.5","1.4","0.0","0.0","0.0","0.1","37.2"
"","high","15.0","217.5","1.4","0.0","0.0","0.0","0.1","37.4"
"","low","15.0","217.5","1.4","0.0","0.0","0.0","0.1","37.4"
"Kalif Raymond","CHI","19.4","187.5","0.9","4.5","26.8","0.2","0.2","36.9"
"","high","19.4","187.5","0.9","4.5","26.8","0.2","0.2","38.5"
"","low","19.4","187.5","0.9","4.5","26.8","0.2","0.2","38.5"
"Devontez Walker","BAL","14.5","208.5","1.5","0.0","0.0","0.0","0.2","36.6"
"","high","14.5","208.5","1.5","0.0","0.0","0.0","0.2","36.7"
"","low","14.5","208.5","1.5","0.0","0.0","0.0","0.2","36.7"
"Savion Williams","GB","13.1","147.2","1.1","9.0","47.1","0.3","0.2","34.1"
"","high","13.1","147.2","1.1","9.0","47.1","0.3","0.2","34.9"
"","low","13.1","147.2","1.1","9.0","47.1","0.3","0.2","34.9"
"Isaiah Bond","CLE","11.4","151.7","0.9","4.3","23.6","0.1","0.2","29.0"
"","high","11.4","151.7","0.9","4.3","23.6","0.1","0.2","29.1"
"","low","11.4","151.7","0.9","4.3","23.6","0.1","0.2","29.1"
"Jaylin Lane","WAS","12.4","159.3","1.1","0.0","0.0","0.0","0.1","28.4"
"","high","12.4","159.3","1.1","0.0","0.0","0.0","0.1","31.1"
"","low","12.4","159.3","1.1","0.0","0.0","0.0","0.1","31.1"
"Skyler Bell","BUF","12.1","163.6","1.0","0.0","0.0","0.0","0.1","27.9"
"","high","12.1","163.6","1.0","0.0","0.0","0.0","0.1","28.1"
"","low","12.1","163.6","1.0","0.0","0.0","0.0","0.1","28.1"
"Tutu Atwell","LAR","9.7","139.2","0.9","2.3","12.0","0.1","0.1","26.0"
"","high","9.7","139.2","0.9","2.3","12.0","0.1","0.1","26.0"
"","low","9.7","139.2","0.9","2.3","12.0","0.1","0.1","26.0"
"Olamide Zaccheaus","ATL","14.3","142.3","0.6","0.0","0.0","0.0","0.2","24.8"
"","high","14.3","142.3","0.6","0.0","0.0","0.0","0.2","25.2"
"","low","14.3","142.3","0.6","0.0","0.0","0.0","0.2","25.2"
"Colbie Young","CIN","10.6","131.4","1.0","0.0","0.0","0.0","0.1","24.2"
"","high","10.6","131.4","1.0","0.0","0.0","0.0","0.1","24.3"
"","low","10.6","131.4","1.0","0.0","0.0","0.0","0.1","24.3"
"Roman Wilson","PIT","11.8","135.0","0.6","0.0","0.0","0.0","0.1","22.9"
"","high","11.8","135.0","0.6","0.0","0.0","0.0","0.1","23.0"
"","low","11.8","135.0","0.6","0.0","0.0","0.0","0.1","23.0"
"Brenen Thompson","LAC","9.5","121.7","0.7","2.1","11.3","0.1","0.1","22.7"
"","high","9.5","121.7","0.7","2.1","11.3","0.1","0.1","22.8"
"","low","9.5","121.7","0.7","2.1","11.3","0.1","0.1","22.8"
"Isaiah Williams","NYJ","11.7","114.3","0.4","2.2","12.7","0.1","0.1","21.6"
"","high","11.7","114.3","0.4","2.2","12.7","0.1","0.1","25.2"
"","low","11.7","114.3","0.4","2.2","12.7","0.1","0.1","25.2"
"Elijah Sarratt","BAL","8.3","123.6","0.8","0.0","0.0","0.0","0.1","20.9"
"","high","8.3","123.6","0.8","0.0","0.0","0.0","0.1","20.9"
"","low","8.3","123.6","0.8","0.0","0.0","0.0","0.1","20.9"
"Odell Beckham Jr.","NYG","9.2","113.1","0.6","0.0","0.0","0.0","0.1","19.3"
"","high","9.2","113.1","0.6","0.0","0.0","0.0","0.1","19.4"
"","low","9.2","113.1","0.6","0.0","0.0","0.0","0.1","19.4"
"Tez Johnson","TB","6.7","77.5","0.6","4.4","23.2","0.2","0.1","18.1"
"","high","6.7","77.5","0.6","4.4","23.2","0.2","0.1","18.2"
"","low","6.7","77.5","0.6","4.4","23.2","0.2","0.1","18.2"
"Jimmy Horn Jr.","CAR","6.6","75.5","0.4","6.2","37.0","0.2","0.1","17.9"
"","high","6.6","75.5","0.4","6.2","37.0","0.2","0.1","17.9"
"","low","6.6","75.5","0.4","6.2","37.0","0.2","0.1","17.9"
"Jordan Whittington","LAR","7.5","84.7","0.6","2.3","12.1","0.1","0.1","17.6"
"","high","7.5","84.7","0.6","2.3","12.1","0.1","0.1","18.0"
"","low","7.5","84.7","0.6","2.3","12.1","0.1","0.1","18.0"
"Konata Mumpfield","LAR","6.6","83.7","0.8","0.0","0.0","0.0","0.1","16.1"
"","high","6.6","83.7","0.8","0.0","0.0","0.0","0.1","16.2"
"","low","6.6","83.7","0.8","0.0","0.0","0.0","0.1","16.2"
"Jalen Royals","KC","6.8","78.1","0.6","0.0","0.0","0.0","0.1","14.9"
"","high","6.8","78.1","0.6","0.0","0.0","0.0","0.1","14.9"
"","low","6.8","78.1","0.6","0.0","0.0","0.0","0.1","14.9"
"KeAndre Lambert-Smith","LAC","6.4","80.6","0.6","0.0","0.0","0.0","0.1","14.6"
"","high","6.4","80.6","0.6","0.0","0.0","0.0","0.1","14.9"
"","low","6.4","80.6","0.6","0.0","0.0","0.0","0.1","14.9"
"Laquon Treadwell","IND","6.9","76.0","0.4","0.0","0.0","0.0","0.1","13.3"
"","high","6.9","76.0","0.4","0.0","0.0","0.0","0.1","13.4"
"","low","6.9","76.0","0.4","0.0","0.0","0.0","0.1","13.4"
"Bo Melton","GB","5.0","65.1","0.4","2.2","13.0","0.1","0.1","13.2"
"","high","5.0","65.1","0.4","2.2","13.0","0.1","0.1","13.4"
"","low","5.0","65.1","0.4","2.2","13.0","0.1","0.1","13.4"
"Dont'e Thornton Jr.","LV","6.0","83.0","0.3","0.0","0.0","0.0","0.1","13.0"
"","high","6.0","83.0","0.3","0.0","0.0","0.0","0.1","13.0"
"","low","6.0","83.0","0.3","0.0","0.0","0.0","0.1","13.0"
"Barion Brown","NO","5.9","74.3","0.3","0.0","0.0","0.0","0.1","12.3"
"","high","5.9","74.3","0.3","0.0","0.0","0.0","0.1","14.4"
"","low","5.9","74.3","0.3","0.0","0.0","0.0","0.1","14.4"
"Tay Martin","DET","3.4","40.7","0.3","4.7","25.7","0.3","0.1","11.5"
"","high","3.4","40.7","0.3","4.7","25.7","0.3","0.1","11.5"
"","low","3.4","40.7","0.3","4.7","25.7","0.3","0.1","11.5"
"Malachi Corley","CLE","3.4","33.7","0.1","6.4","43.9","0.2","0.1","11.2"
"","high","3.4","33.7","0.1","6.4","43.9","0.2","0.1","11.9"
"","low","3.4","33.7","0.1","6.4","43.9","0.2","0.1","11.9"
"Kevin Austin Jr.","NO","5.3","64.5","0.3","0.0","0.0","0.0","0.1","10.6"
"","high","5.3","64.5","0.3","0.0","0.0","0.0","0.1","10.6"
"","low","5.3","64.5","0.3","0.0","0.0","0.0","0.1","10.6"
"Derius Davis","LAC","3.5","38.1","0.3","2.1","11.0","0.1","0.1","8.6"
"","high","3.5","38.1","0.3","2.1","11.0","0.1","0.1","9.9"
"","low","3.5","38.1","0.3","2.1","11.0","0.1","0.1","9.9"
"Dohnte Meyers","CIN","3.7","42.6","0.4","0.0","0.0","0.0","0.0","8.3"
"","high","3.7","42.6","0.4","0.0","0.0","0.0","0.0","8.3"
"","low","3.7","42.6","0.4","0.0","0.0","0.0","0.0","8.3"
"Xavier Smith","LAR","3.6","44.3","0.3","0.0","0.0","0.0","0.0","8.1"
"","high","3.6","44.3","0.3","0.0","0.0","0.0","0.0","9.8"
"","low","3.6","44.3","0.3","0.0","0.0","0.0","0.0","9.8"
"Efton Chism III","NE","3.5","42.7","0.3","0.0","0.0","0.0","0.0","7.8"
"","high","3.5","42.7","0.3","0.0","0.0","0.0","0.0","8.3"
"","low","3.5","42.7","0.3","0.0","0.0","0.0","0.0","8.3"
"Jacob Cowing","SF","3.3","44.1","0.3","0.0","0.0","0.0","0.0","7.7"
"","high","3.3","44.1","0.3","0.0","0.0","0.0","0.0","8.8"
"","low","3.3","44.1","0.3","0.0","0.0","0.0","0.0","8.8"
"Josh Cameron","JAC","3.2","39.9","0.2","0.0","0.0","0.0","0.0","7.0"
"","high","3.2","39.9","0.2","0.0","0.0","0.0","0.0","7.4"
"","low","3.2","39.9","0.2","0.0","0.0","0.0","0.0","7.4"
"Tai Felton","MIN","3.7","37.0","0.2","0.0","0.0","0.0","0.0","6.9"
"","high","3.7","37.0","0.2","0.0","0.0","0.0","0.0","7.2"
"","low","3.7","37.0","0.2","0.0","0.0","0.0","0.0","7.2"
"Jonathan Mingo","DAL","2.9","40.5","0.3","0.0","0.0","0.0","0.0","6.9"
"","high","2.9","40.5","0.3","0.0","0.0","0.0","0.0","6.9"
"","low","2.9","40.5","0.3","0.0","0.0","0.0","0.0","6.9"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","6.8"
"","high","3.3","37.7","0.3","0.0","0.0","0.0","0.0","6.9"
"","low","3.3","37.7","0.3","0.0","0.0","0.0","0.0","6.9"
"Reggie Virgil","ARI","3.4","39.2","0.1","0.0","0.0","0.0","0.0","6.4"
"","high","3.4","39.2","0.1","0.0","0.0","0.0","0.0","6.4"
"","low","3.4","39.2","0.1","0.0","0.0","0.0","0.0","6.4"
"Brycen Tremayne","CAR","3.3","36.0","0.2","0.0","0.0","0.0","0.0","6.1"
"","high","3.3","36.0","0.2","0.0","0.0","0.0","0.0","6.3"
"","low","3.3","36.0","0.2","0.0","0.0","0.0","0.0","6.3"
"Arian Smith","NYJ","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"","high","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"","low","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"Ben Skowronek","PIT","1.8","16.9","0.1","0.0","0.0","0.0","0.0","3.0"
"","high","1.8","16.9","0.1","0.0","0.0","0.0","0.0","3.0"
"","low","1.8","16.9","0.1","0.0","0.0","0.0","0.0","3.0"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"","high","0.0","0.0","0.0","2.2","12.1","0.1","0.0","3.7"
"","low","0.0","0.0","0.0","2.2","12.1","0.1","0.0","3.7"
"Kaden Wetjen","PIT","0.0","0.0","0.0","2.1","11.7","0.1","0.0","1.6"
"","high","0.0","0.0","0.0","2.1","11.7","0.1","0.0","4.1"
"","low","0.0","0.0","0.0","2.1","11.7","0.1","0.0","4.1"
"Gunner Olszewski","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Tylan Wallace","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Xavier Weaver","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Nikko Remigio","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Tyrell Shavers","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Tipton","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.9"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.9"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
""
""
