"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","76.5","994.0","6.0","3.0","25.0","0.1","0.0","207.8"
"","low","72.0","987.0","6.0","0.0","0.0","0.0","0.7","164.1"
"Luther Burden III","CHI","72.9","974.5","5.7","7.7","37.9","0.1","0.3","171.9"
"","high","75.8","1056.0","6.0","9.0","48.8","0.4","0.0","203.4"
"","low","70.0","926.0","5.1","6.0","32.0","0.0","0.7","167.5"
"Mike Evans","SF","67.1","941.4","6.9","0.0","0.0","0.0","0.2","168.8"
"","high","76.0","986.0","8.0","0.0","0.0","0.0","0.0","205.5"
"","low","56.2","883.3","5.8","0.0","0.0","0.0","0.4","156.2"
"Christian Watson","GB","57.6","918.8","7.4","1.7","8.7","0.0","0.3","165.5"
"","high","65.0","982.0","8.0","3.0","13.1","0.1","0.0","201.5"
"","low","53.0","872.3","7.0","0.0","0.0","0.0","0.5","159.8"
"Marvin Harrison Jr.","ARI","67.2","959.9","6.0","0.0","0.0","0.0","0.3","165.1"
"","high","69.0","993.0","7.0","0.0","0.0","0.0","0.0","194.9"
"","low","64.0","933.0","5.0","0.0","0.0","0.0","0.6","158.5"
"Courtland Sutton","DEN","67.4","884.1","7.2","0.0","0.0","0.0","0.2","164.8"
"","high","70.0","910.0","7.6","0.0","0.0","0.0","0.0","192.0"
"","low","63.0","848.0","7.0","0.0","0.0","0.0","0.5","158.7"
"Alec Pierce","IND","56.4","977.1","6.4","0.0","0.0","0.0","0.3","164.0"
"","high","60.3","1068.0","9.0","0.0","0.0","0.0","0.0","180.2"
"","low","49.0","917.0","5.0","0.0","0.0","0.0","0.5","154.5"
"DK Metcalf","PIT","64.3","926.7","6.1","0.7","3.3","0.3","0.2","163.0"
"","high","67.0","944.1","6.2","2.0","10.0","1.0","0.0","196.0"
"","low","61.0","892.0","6.0","0.0","0.0","0.0","0.5","155.1"
"Parker Washington","JAC","62.6","862.8","5.7","5.0","13.7","0.1","0.4","153.1"
"","high","63.7","925.0","7.0","8.0","39.0","0.3","0.0","173.7"
"","low","62.0","814.0","5.0","0.0","0.0","0.0","0.8","154.8"
"Brian Thomas Jr.","JAC","58.0","871.2","5.4","2.7","17.7","0.4","0.2","152.1"
"","high","61.0","942.0","6.0","4.0","30.0","1.0","0.0","168.2"
"","low","56.0","812.0","5.0","0.0","0.0","0.0","0.3","148.6"
"Michael Pittman Jr.","PIT","80.5","805.9","5.0","0.0","0.0","0.0","0.3","150.0"
"","high","88.4","877.0","6.0","0.0","0.0","0.0","0.0","195.9"
"","low","76.0","678.0","3.9","0.0","0.0","0.0","0.7","134.2"
"Carnell Tate","TEN","65.2","887.4","4.5","0.7","3.0","0.0","1.4","145.8"
"","high","74.5","1023.2","5.0","2.0","9.0","0.0","0.8","181.8"
"","low","56.0","772.0","4.0","0.0","0.0","0.0","2.0","121.6"
"Jayden Reed","GB","62.8","749.2","4.8","12.7","93.7","0.2","0.4","144.6"
"","high","66.0","815.0","5.0","18.0","148.0","0.5","0.0","182.7"
"","low","59.0","700.0","4.4","9.0","65.0","0.0","0.8","130.4"
"Jakobi Meyers","JAC","68.3","787.3","5.1","4.3","22.7","0.1","0.8","144.6"
"","high","69.8","814.0","5.2","6.0","32.0","0.3","0.6","177.7"
"","low","67.0","765.8","5.0","3.0","17.0","0.0","1.0","135.1"
"Michael Wilson","ARI","67.5","839.0","4.5","0.0","0.7","0.0","0.2","144.1"
"","high","70.5","860.0","6.0","0.0","2.0","0.0","0.0","173.0"
"","low","66.0","822.0","3.4","0.0","0.0","0.0","0.4","139.6"
"Quentin Johnston","LAC","53.6","756.9","6.9","1.7","5.9","0.0","0.7","143.1"
"","high","58.0","786.0","9.0","3.0","10.8","0.1","0.5","158.5"
"","low","50.0","707.0","5.6","0.0","0.0","0.0","1.0","139.4"
"Chris Godwin Jr.","TB","67.8","773.4","5.2","0.3","0.3","0.0","0.3","141.8"
"","high","75.0","841.0","6.0","1.0","1.0","0.0","0.0","175.8"
"","low","60.3","700.2","4.5","0.0","0.0","0.0","0.6","130.9"
"Jordan Addison","MIN","55.3","757.7","5.4","2.7","37.2","0.4","0.2","141.4"
