"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","173.9","741.9","7.0","43.0","350.5","2.1","1.2","194.9"
"","low","163.0","694.0","6.8","33.0","322.0","1.0","3.0","152.7"
"Jaylen Warren","PIT","189.8","833.7","4.9","42.4","322.0","1.5","1.0","172.9"
"","high","195.0","854.0","5.0","46.1","329.0","2.0","0.9","202.0"
"","low","184.3","809.2","4.6","40.0","317.0","1.0","1.0","152.2"
"Tony Pollard","TEN","236.1","1033.6","5.5","31.9","208.1","0.5","2.1","171.7"
"","high","242.0","1065.0","6.0","34.0","227.0","1.0","1.2","197.1"
"","low","227.0","993.0","5.0","29.7","182.4","0.0","3.0","148.9"
"J.K. Dobbins","DEN","219.6","1026.8","6.9","19.5","104.4","0.6","0.7","166.2"
"","high","248.0","1135.0","7.0","21.4","132.2","1.0","0.5","174.9"
"","low","204.7","957.3","6.6","16.0","77.0","0.0","1.0","156.7"
"Rico Dowdle","PIT","201.4","876.3","5.9","31.7","222.2","1.0","1.0","165.1"
"","high","227.2","992.9","7.0","36.0","253.0","1.1","1.0","175.0"
"","low","186.0","801.0","5.0","29.2","203.0","1.0","1.0","152.9"
"Chuba Hubbard","CAR","180.0","736.6","5.0","36.0","256.2","1.8","0.9","156.2"
"","high","192.0","767.0","6.0","41.1","299.7","3.0","0.9","179.5"
"","low","166.0","711.0","4.0","33.0","211.0","1.0","1.0","140.0"
"Jonathon Brooks","CAR","191.6","791.9","5.2","30.9","235.9","1.1","1.5","153.2"
"","high","214.0","878.0","7.0","36.6","278.7","1.4","1.0","163.2"
"","low","158.0","646.0","4.0","24.0","200.0","1.0","2.0","148.9"
"Kenny Gainwell","TB","116.6","512.1","4.2","49.7","351.9","2.0","0.9","146.7"
"","high","123.0","536.0","4.6","60.0","439.0","2.0","0.8","154.8"
"","low","109.0","479.0","4.0","37.0","275.0","2.0","1.0","139.9"
"Kyle Monangai","CHI","190.4","814.1","5.1","23.0","195.2","0.4","0.7","144.4"
"","high","206.0","854.0","6.4","25.9","215.7","1.3","0.4","160.8"
"","low","176.0","775.0","4.0","20.0","162.0","0.0","1.0","130.5"
"Josh Jacobs","GB","175.3","707.2","6.8","21.8","174.1","1.1","1.1","144.1"
"","high","211.9","872.7","9.4","27.5","215.3","1.3","1.0","181.8"
"","low","152.0","622.0","4.0","15.0","121.0","1.0","1.2","119.9"
"Rachaad White","WAS","137.0","605.2","5.4","35.8","247.8","1.6","0.8","143.3"
"","high","145.0","710.0","6.0","42.0","310.0","2.0","0.6","165.8"
"","low","131.0","539.0","5.0","25.0","167.0","1.0","1.0","127.9"
"Aaron Jones Sr.","MIN","150.0","639.4","3.1","40.8","300.9","1.7","1.0","141.1"
"","high","157.0","662.0","3.3","47.3","344.8","2.1","1.0","151.1"
"","low","143.0","602.0","3.0","37.0","268.0","1.0","1.0","125.4"
"Jacory Croskey-Merritt","WAS","185.1","831.0","7.5","12.3","91.3","0.2","1.8","141.1"
"","high","196.2","859.0","8.0","16.0","118.8","0.7","1.5","149.2"
"","low","179.0","788.0","7.0","9.0","71.0","0.0","2.0","131.2"
"MarShawn Lloyd","GB","180.4","762.2","6.2","19.9","154.7","1.0","1.8","141.1"
"","high","221.0","913.0","7.0","27.0","197.0","1.0","0.6","173.4"
"","low","129.1","551.6","4.6","13.0","124.0","0.9","3.0","111.6"
"RJ Harvey","DEN","107.6","405.8","4.0","45.9","341.2","3.2","0.7","139.1"
"","high","149.0","529.0","6.0","48.7","366.5","4.0","0.4","151.0"
"","low","77.8","315.5","2.9","44.0","326.0","2.6","1.0","123.6"
"Jordan Mason","MIN","192.8","879.9","6.2","14.5","75.8","0.1","1.1","138.4"
"","high","195.0","907.0","7.0","18.0","83.5","0.3","1.0","145.5"
"","low","189.0","831.0","5.0","12.0","62.0","0.0","1.2","132.5"
"Blake Corum","LAR","172.0","823.2","6.4","11.9","80.6","0.2","0.7","134.8"
"","high","181.9","888.0","7.3","16.7","116.7","0.6","0.4","148.5"
"","low","159.0","745.0","6.0","6.0","36.0","0.0","1.0","122.0"
"Tyjae Spears","TEN","94.8","379.4","3.0","45.8","306.0","1.2","0.7","115.1"
"","high","105.5","446.1","4.0","50.0","336.1","1.6","0.5","127.7"
"","low","86.0","344.0","2.0","38.0","255.0","1.0","1.0","101.9"
"Woody Marks","HOU","145.5","567.3","2.7","24.1","196.6","1.8","0.8","113.6"
"","high","151.4","613.8","3.1","27.0","214.0","3.0","0.7","119.6"
"","low","135.0","527.0","2.0","21.0","177.0","1.0","1.0","105.0"
"Zach Charbonnet","SEA","125.9","514.1","5.3","18.4","136.3","0.5","0.7","107.6"
"","high","136.6","555.3","6.9","20.3","145.0","1.0","0.3","122.9"
"","low","113.0","450.0","3.0","16.0","129.0","0.0","1.0","82.2"
"Isiah Pacheco","DET","136.7","579.4","3.4","19.5","120.7","0.8","0.7","103.4"
"","high","148.0","618.0","3.8","26.0","156.0","1.0","0.5","98.0"
"","low","125.5","540.8","3.0","12.9","85.3","0.6","1.0","91.7"
"Alvin Kamara","NO","114.0","439.9","2.4","31.9","223.7","1.0","0.8","100.7"
"","high","117.0","450.7","3.0","34.0","235.0","2.0","0.6","123.3"
"","low","111.9","428.0","2.0","30.8","208.1","0.0","1.0","83.0"
"Justice Hill","BAL","61.3","296.4","2.3","32.7","283.1","1.8","0.2","98.7"
"","high","64.0","325.0","3.0","39.4","348.3","2.0","0.0","97.0"
"","low","58.5","267.8","1.6","26.0","218.0","1.7","0.5","83.4"
