"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Kyle Allen","BUF","1.3","0.8","7.7","0.0","0.0","0.1","0.2","0.0","0.0","0.4"
"Justin Fields","KC","1.2","0.7","3.9","0.0","0.0","0.4","0.7","0.0","0.0","0.3"
"Trey Lance","LAC","1.2","0.8","4.5","0.0","0.0","0.3","0.3","0.0","0.0","0.3"
"Marcus Mariota","WAS","1.4","0.8","4.7","0.0","0.0","0.3","0.3","0.0","0.0","0.3"
"Jameis Winston","NYG","1.3","0.8","4.9","0.0","0.0","0.2","0.0","0.0","0.0","0.3"
"Quinn Ewers","JAC","1.3","0.8","4.5","0.0","0.0","0.5","-0.1","0.0","0.0","0.3"
"Tyler Huntley","BAL","1.2","0.8","3.9","0.0","0.0","0.3","0.3","0.0","0.0","0.3"
"Carson Beck","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Rudolph","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Mullens","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Johnson","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Will Howard","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
